2026-02-02 11:45:58.380 [INF] Starting SocietyLedger API...
2026-02-02 11:46:04.571 [INF] Starting web application...
2026-02-02 12:07:29.256 [INF] Starting SocietyLedger API...
2026-02-02 12:07:31.501 [INF] Starting web application...
2026-02-02 12:12:50.795 [INF] User registration successful for "ramakrishna@gmail.com"
2026-02-02 12:17:33.831 [INF] Flat statuses fetched successfully (count: 3)
2026-02-02 12:17:34.027 [WRN] No flats found for SocietyId 19
2026-02-02 12:17:45.344 [WRN] No flats found for SocietyId 19
2026-02-02 12:30:53.536 [WRN] No flats found for SocietyId 19
2026-02-02 12:30:53.629 [INF] Flat statuses fetched successfully (count: 3)
2026-02-02 12:30:54.606 [WRN] No flats found for SocietyId 19
2026-02-02 12:31:13.132 [INF] Flat created successfully for FlatNo "101"
2026-02-02 12:31:13.202 [INF] Fetched 1 flats for SocietyId 19
2026-02-02 12:31:32.696 [INF] Flat created successfully for FlatNo "102"
2026-02-02 12:31:32.725 [INF] Fetched 2 flats for SocietyId 19
2026-02-02 12:31:55.269 [INF] Flat created successfully for FlatNo "201"
2026-02-02 12:31:55.290 [INF] Fetched 3 flats for SocietyId 19
2026-02-02 12:32:17.378 [INF] Flat created successfully for FlatNo "202"
2026-02-02 12:32:17.501 [INF] Fetched 4 flats for SocietyId 19
2026-02-02 12:32:40.122 [INF] Flat created successfully for FlatNo "203"
2026-02-02 12:32:40.153 [INF] Fetched 5 flats for SocietyId 19
2026-02-02 12:33:06.730 [INF] Flat created successfully for FlatNo "301"
2026-02-02 12:33:06.748 [INF] Fetched 6 flats for SocietyId 19
2026-02-02 12:33:31.676 [INF] Flat created successfully for FlatNo "302"
2026-02-02 12:33:31.702 [INF] Fetched 7 flats for SocietyId 19
2026-02-02 12:33:59.859 [INF] Flat created successfully for FlatNo "103"
2026-02-02 12:33:59.910 [INF] Fetched 8 flats for SocietyId 19
2026-02-02 12:34:22.214 [INF] Flat created successfully for FlatNo "303"
2026-02-02 12:34:22.258 [INF] Fetched 9 flats for SocietyId 19
2026-02-02 12:35:03.325 [INF] Flat created successfully for FlatNo "401"
2026-02-02 12:35:03.350 [INF] Fetched 10 flats for SocietyId 19
2026-02-02 12:35:29.442 [INF] Flat created successfully for FlatNo "402"
2026-02-02 12:35:29.470 [INF] Fetched 11 flats for SocietyId 19
2026-02-02 12:36:06.043 [INF] Flat created successfully for FlatNo "403"
2026-02-02 12:36:06.101 [INF] Fetched 12 flats for SocietyId 19
2026-02-02 12:37:32.940 [INF] Flat updated successfully for PublicId 068d10a9-9d72-4792-996c-81251894e01b
2026-02-02 12:37:32.965 [INF] Fetched 12 flats for SocietyId 19
2026-02-02 12:37:38.756 [INF] Users listed for society 19 by user 25
